Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM▼,BPM,VORP,Awards,Player-additional
16,Kris Dunn,31,LAC,PG,82,68,2230,11.3,.581,.449,.170,3.1,10.8,7.1,17.9,2.9,0.6,17.8,12.4,1.7,2.3,4.0,.085,-2.3,1.5,-0.8,0.6,,dunnkr01
17,Jordan Goodwin,27,PHO,PG,70,10,1572,14.7,.525,.544,.101,9.4,14.8,12.0,13.6,3.3,0.9,10.5,17.5,1.5,2.4,3.9,.118,0.3,1.5,1.8,1.5,,goodwjo01
18,Mikal Bridges,29,NYK,SF,82,82,2692,15.3,.587,.436,.102,3.3,9.7,6.5,15.9,2.0,2.4,7.6,17.3,4.7,3.3,8.0,.143,1.3,1.4,2.7,3.2,,bridgmi01
19,Jalen Johnson,24,ATL,SF,72,72,2532,20.4,.581,.278,.311,4.3,27.8,15.9,33.5,1.7,1.1,14.9,27.0,3.6,3.9,7.5,.141,2.8,1.4,4.2,4.0,ASNBA3,johnsja05
20,Ron Holland,20,DET,SF,78,5,1551,11.7,.525,.364,.274,6.1,16.5,11.4,8.2,2.9,1.7,13.6,18.9,-0.1,2.9,2.8,.087,-3.3,1.4,-2.0,0.0,,hollaro01
21,Luka Dončić,26,LAL,PG,64,64,2289,27.9,.616,.476,.443,2.2,22.5,12.7,40.5,2.2,1.4,12.8,38.1,6.6,2.9,9.5,.199,8.0,1.3,9.3,6.6,MVP-4CPOY-8ASNBA1,doncilu01
22,Jay Huff,27,IND,C,82,47,1719,15.2,.598,.610,.162,4.5,16.2,10.3,10.4,1.1,7.6,10.4,18.0,1.3,1.9,3.2,.089,-0.9,1.3,0.4,1.1,,huffja01
23,Moussa Diabaté,24,CHO,C,73,47,1899,17.2,.653,.006,.485,16.5,21.1,18.9,10.2,1.5,3.5,14.2,11.4,4.7,2.8,7.4,.188,0.4,1.2,1.7,1.8,,diabamo01
24,Evan Mobley,24,CLE,PF,65,63,2074,20.0,.596,.243,.346,8.3,22.7,15.5,16.8,1.1,5.2,11.0,22.6,3.6,2.9,6.5,.150,1.8,1.2,3.0,2.6,,mobleev01
25,OG Anunoby,28,NYK,PF,67,67,2224,15.8,.620,.506,.275,4.3,13.4,8.8,9.2,2.3,2.2,12.0,19.7,3.1,3.2,6.3,.135,0.9,1.1,2.0,2.3,DPOY-10DEF2,anunoog01
26,Dylan Harper,19,SAS,SG,69,4,1558,16.2,.574,.271,.181,3.8,12.1,8.1,24.7,1.7,1.4,12.3,21.8,2.0,2.2,4.2,.130,0.3,1.1,1.4,1.3,ROY-46MOY-11,harpedy01
27,Sion James,23,CHO,SG,82,19,1843,8.3,.531,.634,.263,3.1,14.3,8.8,11.4,1.4,1.0,13.5,11.0,1.1,1.9,3.1,.080,-3.0,1.1,-2.0,0.0,,jamessi01
28,Draymond Green,35,GSW,PF,68,68,1869,10.4,.540,.631,.171,3.2,19.5,11.2,27.3,1.6,2.1,25.5,16.1,-0.4,2.1,1.7,.044,-2.4,1.0,-1.4,0.3,DPOY-11,greendr01
29,Amen Thompson,23,HOU,PG,79,79,2953,18.9,.594,.111,.374,8.9,14.0,11.5,20.4,2.0,1.5,13.5,20.0,6.5,3.8,10.3,.167,1.6,1.0,2.6,3.4,DPOY-8,thompam01
30,Derrick White,31,BOS,SG,77,77,2625,16.0,.529,.578,.184,3.7,10.4,7.1,22.2,1.7,3.8,10.1,22.0,3.5,3.5,7.0,.129,2.2,1.0,3.2,3.5,DPOY-6DEF1,whitede01
31,Naz Reid,26,MIN,C,77,3,2007,15.4,.565,.514,.141,5.0,20.8,13.1,12.4,1.8,3.4,12.0,22.1,0.9,3.2,4.0,.097,-0.1,1.0,0.9,1.5,6MOY-4,reidna01
32,Royce O'Neale,32,PHO,SF,78,67,2213,11.6,.596,.832,.061,2.9,16.3,9.3,12.8,1.9,1.4,13.8,14.3,1.9,2.7,4.6,.100,-0.3,1.0,0.7,1.5,,onealro01
33,Rudy Gobert,33,MIN,C,76,76,2380,17.5,.664,.010,.615,14.1,25.9,20.1,7.2,1.2,4.5,14.5,12.9,4.8,4.0,8.7,.176,0.0,0.9,1.0,1.8,DPOY-4DEF1,goberru01
34,Stephon Castle,21,SAS,PG,68,67,2038,17.4,.575,.299,.470,5.3,13.5,9.5,34.5,1.8,0.8,18.0,24.9,2.8,2.9,5.8,.136,1.0,0.9,1.9,2.0,,castlst01
35,Onyeka Okongwu,25,ATL,C,74,63,2297,15.9,.592,.445,.235,6.5,20.3,13.3,13.9,1.7,3.1,11.8,19.5,2.6,3.3,6.0,.125,-0.1,0.8,0.7,1.6,,okongon01
36,Julian Champagnie,24,SAS,SF,82,68,2266,13.1,.609,.743,.196,3.6,18.4,11.2,7.3,1.3,1.5,8.4,15.2,2.8,3.4,6.2,.132,0.5,0.8,1.4,1.9,,champju02
37,Tobias Harris,33,DET,PF,63,63,1746,15.0,.574,.338,.238,3.6,16.9,10.4,12.5,1.6,1.5,8.0,18.8,2.6,2.7,5.3,.145,0.6,0.8,1.4,1.5,,harrito02
38,Luguentz Dort,26,OKC,SF,69,69,1849,8.3,.524,.710,.111,3.4,10.7,7.2,5.9,1.6,1.4,8.9,14.1,0.0,3.0,3.0,.078,-2.8,0.8,-2.0,0.0,,dortlu01
